
wolf,32
shz,8
allianceoblivion,6
alliancejustice,2
nakasu,3
alliancecalucha,2
alliancevip,1
shinmei971,21
alliancegnief,1
sissiimperatrice,5
silvertokyo,2
andrzej123,1
weshbien,15
zucch,28
alliancecalculu,4
nabooru,10
kingdomoftea,14
meguriineluka,4
darklight1999,47
allianceaqua,7
taurynhonchkrow,1
allianceredzard,1
christs,26
can360,7
kimisumi,14
alliancesoulace,1
jakemusicnote,1
alliancelemon,11
hingo,1
queenofshipping,1
allianceperfcel,1
alliancedyla,9
silversarah,14
rsbamafive,2
yungsoma,1
shinitagari,1
wicked3ds,3
gardenofsinners,1
shell0s,1
rainbowiguana,1
kirtdraney,1
darkfire99,35
ctfrm,23
amiy,13
humansuplexmachine,1
barian,1
allianceclur,2
wtcantoinedaniel,1
connwaer,9
s5ger1995,10
alliancesakis,4
battebst,2
oddsh,10
rabinov,7
bidoofftw,7
eilp,1
queenhigh,1
allianclemn,1
sanguine,11
dadamax,9
silverfabalas,1
ihatefats,1
allianceeldes,5
mtpyre,1
imdonionrings,2
malibou,1
fkasyndrome,1
alliancehingo,1
sweep,2
heroeagleeye,1
alliancescribbl,1
theace22,2
testerhelp,1
amtesla,1
silverkarnage,1
clur,2
omicrn,2
alliancemxy,2
silvershulk,1
antihismajesty,1
lepape,1
abnegation,1
mxleaderamity,1
jp70,1
mysteryxgris,18
antimuchjew,1
daisukehyosashi,1
itisguest,1
xinsrew,1
heysoul,1
nightvisionbr,1
ayatollahazelf,5
sevi333,3
punkysaur,23
teddy520,4
coxinhaexe,1
playsminecraft,2
affinitymssih,1
heracrossdude,5
magicbananas,3
scrymshiftry,1
gueppe,1
rvere,4
affinityorphan,1
johtowinner,1
alostnig,1
lukey,9
allianceav99,1
silveranaconda,1
masterfloat,1
hero007,1
alliancechras,2
anaconda69,1
alliancerich,2
renchon,1
ericasillva,24
silvercypherd,1
haxstester,1
gymleadrrachel,2
allianceguy,1
allianceazelea,1
alliancecarn0x,1
alliancejirachi,1
ultimatechaoragon,2
gloom,6
dylathered,1
firebreathingyoshi,1
anrisonahara,3
user101,22
froginfected,11
scarlettjohasson,8
pokepastatheorist,1
sector,1
silvercharani,4
mgurineluka,2
toto013,24
antigomegome,1
infleadersilver,1
hannumikkola,14
megasceptaile3,1
blixow,6
darkletenebreux,20
antireqsop,1
quatuorgamer,20
amit07,2
itachingo,1
zanecyber,4
skyrio,13
erikpl,1
mattsuper,11
gallame9999,4
kuro54,1
metatheo33,1
dedenne1,2
mestrextreme,5
corruptaffliction,1
starrywindy,2
profdesinnoh,18
pachy,3
juandiegol2,1
bluzen,2
charani,4
fulmigraine,5
juudaime103,26
tobichuga,8
niseba,1
lucy2512,34
battlebro,4
thefakingniggeon,1
wyatt1003,2
haxnyancat1,33
kikfighter,17
darkhondoom,3
antitheman,1
marcisaxy,54
julesxy,1
gallamex,17
jvg007,4
axtheefrost,7
pokenioy,11
hugolaco,5
togehaxx,2
ryukiry,7
roxierosalinaxl,20
alliancesarah,4
qolem,3
mamyaltaria,5
koha,3
stallinelerouge,2
seni,2
bluemegaemboar,1
criston,2
nerdmega,6
andytso,1
excalibor,1
mastersystem,12
caiobatista,1
miketw,1
kingsyn,1
mr30,1
redscisor,24
shiroumbreon1,2
destelloamarillo,2
ciir,1
silvermysteryx,2
alelobo,35
rimas,2
dariiangamer,5
sarl,3
bloqmayus,2
nintendistagamer,11
shgohaizaki,8
xanaplana,22
shawott,23
s64trainerredpkm,1
joaquielkapo,1
anjomalicioso,2
balkhrod,12
antemortem,1
trainerredpkm,1
wolfjaeger,8
bleushrek,1
sneakybatte,13
dragonlatios,8
sotestandobjs,8
funkycrackudocat,20
infernalteamii,3
indiancharizard,28
hanaaa,1
chatrangdhomme,1
yinyanganna,2
uloveme,1
matheusi,1
oocyst,4
suraku75,7
icemilk,2
samuraimarionette,1
quilachy,12
raikouspeed,2
principebaka,31
gosthnith785,1
randomluckyguy,5
valkyriaanna,13
eddymallou,1
somario,3
rnoro,1
megalucariov,5
iaracarol,1
darkazelf,14
kakaro1234,1
sosfire,12
sonicrobat99,1
ppgore,29
eile,3
oakaxxiii,4
tehshax,2
alex55169,2
pokeecuador,1
roxyjadhav,20
livinghope,1
trainerash21,25
absol98sk,61
lumasoul,2
zeonthealpha,7
coolmudkip,1
invincibleswampert,21
crazytoxicroak,2
iforza,7
mettals,1
blueshrek,2
raikuthunder,4
annavalkyria,2
blazelltest,3
charizard30,25
mudkipguy,11
soucleaver,25
putoboss,3
verdade,3
drapionjosi,7
blazell,4
deltakiller,3
ejoseluiis,13
f4n,62
cyndaquilgod,4
wesleykyx,1
lucasrecrear,13
eldecimo,1
199pepinos,7
trainerjay96,3
subterran,1
spatacus,2
crazyuncleanti,1
cookiee,2
parth9,32
anrindas,80
dhrubapatra1611,11
jatingupta,11
persiguepollos,1
rookiedoce,15
2fruit,8
muffson,20
forliferesort,1
prateeksingh,16
princeharrison,42
ladderistough,2
chapadinho,2
lucilletwo,1
lostheart,7
mgido,3
olgreg,1
gyurekio,1
silvertfc,2
smogn,1
199chorizos,11
darkshadow6,61
hattorilim,3
anrinn,4
yanignacio1,11
zebraking11,1
bigpoppin,1
lulugmarre,22
aku33,5
mlanie,10
alexlebg,8
destinedjagold,5
drapion5678,1
bobbyc18,2
essecara,1
allianceefina,1
drevon,2
zekrom52,5
exilym,4
slate,1
muk4president,1
supercoyotte,3
jabin1,1
pignite385,1
orbctform,1
brandon01,2
binca,2
eotaldoallen,1
rosecrimson,1
blnghart,2
jrrkein,3
samsung1,1
bolpokmon121,1
ganeshwar,2
rhythamdjane,4
roityflam60,1
syveonfairy,2
nolafus,1
aerocheese,4
atraa,6
theultimategj,1
thefiredog,3
firzeblast666,1
gazz3l,7
trainerjos,5
leandroplayer,4
jeandbz,9
jeangt,1
darkraidark3,6
bidankftw,1
misskinwsf,1
duzzy,1
ligthshiro,7
jonjm,1
dragonkiddo,3
ryukipandelpitox,1
timmytown,1
sacripanette,1
luffyhaunterz,1
karlof,1
amitydarkblade,1
fennekin101,5
reticentious,1
ttiti4545,4
ladydiamond,1
zincoxide,10
atharva19,19
machthunderbolt,8
shaymin,1
swimty,9
lizcalinerie,1
dratak,1
odye,3
aliiice,2
pearl2004,1
gunberry,1
syndrome,1
mindnight,8
cchikari1,3
imahaxlover,1
devonrawr,3
alizeelavoleuse,1
silormoon,1
dragonjosi,1
davidthetruc,1
celacorn,1
skytrainerash,2
azincfromspace,2
yashagarwal,14
learnea,3
sirinator,1
shinmeitensai,1
pueblolavanda,1
soulstryke,5
sarahsan,1
louisefrancoise,1
kiriyuukitwi,2
ouragangastrique,2
sirinatorsri,2
ino38642,3
kantio,6
fairypeak,1
its103,5
imblake,6
matagix,2
johngasch,1
basedhoenn,1
spygear,1
kekachu,1
srinator,4
situm,14
hypnoblood,1
herminechan,2
auroreetoiiile,1
cyndaquiltoto13,2
funkiyouonline,14
ash1311999,1
swimtynotopia,1
solnotopia,1
bellssm,4
mudk,1
indianyveltal12,1
123456adarsh,1
holiano,24
insanenightmare,3
gogodsgokugamer,2
cse,1
typlouk,3
linehimette,3
amourpearlshipper,1
lluksar,1
firegames1212,6
darkrai9999,1
elfpoodle,1
